"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",200,17,100000,918152,"wzcagcwtjpEjhahaaaiEGEkyycueroucBwDJExmABBcdBxBDkypABAdqaBAutrBadqocjjyjsBaBBwBdBrBBBkByjwBBBByBxBBByxBBuBnBBBBzvvvvxgab",33.5451,21.38,34,5,5,116,21.29,4
"100k","l",500,41,100000,2822245,"wzcagcCdbAEEDBDkjEGsAAByycuopcucJBABwqyLByBtyBBBBBfBBtBrBBBBBBBsBBABBycrkcCIbAcBadyyczAGqDCBBAGBBBABByKBBBBABEBzvvvvxgab",37.4791,21.4,45,5,5,110,21.37,4
"8k","l",200,3,100000,785590,"wzcagcDyrBEInuBItKAADilyycuopcurJGByJkfBABptnyBABbtAEBoytryEAGAEBGlBByBjdBpscBpBBBwqBtBoeBLoBbBnrBdyBBBBBmoBBBBzvvvvxgab",61.7933,21.35,34,6,6,113,21.06,4
"8k","l",500,37,100000,2397459,"wyzagctaKzEhotaEDpEItDyJycuoLruyaeBGEBoBdrmAcBpAxccxBBBKvxBardnIqAxGroxucBBqBBBcaruuytBBnGqBIxxrBBBGtpBBurBBBBBzvvvvxgub",0,21.36,28,6,6,117,21.25,4
"10k","l",500,41,100000,2711582,"wzcagccjxdEywDDmnoxAxbeKycurucBEuufBbyBGjotBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIGcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab",14.6285,21.46,39,9,9,115,21.31,4
"100k","l",500,41,100000,2822245,"wzcagcCdbAEECwDkaEGAAAByycuopcucJBABwqyLByBtyBBBBBxBBtBrBBtBBBBsBBAtBycHkcCIbAcBadlyczoGqDCBByGBBBABByxBBBBJBEBzvvvvxgab",36.4402,21.4,42,3,3,112,21.51,4
"10k","l",500,41,100000,2711582,"wzcagckrqxEittAtdKGrdfqyycuopcuEcqGJwyjdbBuBBLBmJyjLwBfDxxdAuoaErBByEnDcjdaafcsIbIfxBDwoBGuBAcBfrscByBBBBBBBBBBzvvvvxgab",15.9131,21.48,25,13,13,117,21.39,4
"10k","l",500,32,100000,2338699,"wijagclbtuEqpBanjwdmwlnLycuopcBuBBAdaEfkKsGoqdjknyxcuBuwfjborBDudcfBBBaBBbBJByjwxpBEBuBrBbxfBLBBBEBBBBBBBBBBBuBzvvvvxgvG",18.2136,21.43,34,11,11,119,21.32,4
"10k","l",500,32,100000,2338699,"wtjagcfbtaEqdoanjKdmwfnLycuopcoyBBALsEGkDsDuqdsGnyxIuBoecgborBDudcfBBBBBBbBJBysKypBEqufrBbBfyxBGBEBBBBBBBkBBBuBzvvvvxgay",14.3351,21.5,31,14,14,119,21.54,4
"10k","l",500,41,100000,2711582,"wzcagcorqxEittbtdzGrrfqyycuopcuEBqGJayjdbBuABLGmJyjLwBfDxxdAuoGErBLyEnDcjdaafcmIbIqxBDwoBGuBAcBqrscByBBBBBBBBBBzvvvvxgab",15.7928,21.45,23,10,10,117,21.44,4
