genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzcagcGtlbEvyCBuEvdAioyyycuqocuycowAAEAAqGxarBBBBBBBBBBDqBJBApBABBbBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",117.000000,0,0,0,22,0,0,0,0,0
"wzcagcjLxuEyajGInomAHwbKycuructEBtdBxymnjGmBBdawGyudwBBKABaBuwGErxByEnGaBqxBBBxwGBBeBBBBBDuBdDBABsccBBBkBBBBBlBzvvvvxgab",117.000000,1,0,0,0,0,9,0,0,0
"wzcagckrxdEywfDynomAxbeKycurucqEBufBbyBfjBtBBdwulyuboBBAABaBuABErxByEnLDBBwBBBAcJBBAacBBBeuBdDBjBscADBBBBBBBBoBzvvvvxgab",117.000000,1,1,0,11,14,9,0,0,0
"wzcagcjCGuEEjBkkBEddqpByycuopcuccBLBBeywfywtyBBBBbABBtBrBBqBBABsBBABBycducCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab",117.000000,0,3,10,0,0,11,0,0,0
"wzcagcGtlbEvyCBuEvdAiotyycuqocuycowAAEAAqGxarBBBBBBBBBBeqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",116.000000,0,0,0,17,0,0,15,0,0
"wzcagcuedbEyqotBtvHxolqyycuopcuBBoBvbrjBuBjEEjBBpfyLlADdvJBmjBpJdIJeBBEbBBkBwmvBpBwlGBoyBtyBJdBotrBGBBBBBBBBBGBzvvvvxgab",118.000000,0,3,18,0,0,12,0,0,0
"wzcagcjLxuEyajGInomAHwbKycuructEBtdBxydnjBmBBdauGyudwBBKABaBuwGErxnyEnGaBqIBBBxwGBBIBBBBBDuBdDBABsccBBBkBBBBDlBzvvvvxgab",118.000000,2,0,0,0,0,8,0,0,0
"wzcagcorCxEbuHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwnLdDuoDErBByEnDfjdaIfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",117.000000,0,7,1,0,0,0,0,0,0
"wzcagcCdbAEECwDkaEGAAAByycuopcucJBABwqyLByBtyBBBBBxBBtBrBBBBBBBsBBABBycHkcCIbAoBadyyczxGoDCBBAGBBBoBByKBBBBJBEBzvvvvxgab",118.000000,0,1,12,0,0,13,0,0,0
"wyzagctaKzEhotaEDpEItDyJycuoLruyaeBGEBoBdrmAcBpAxccxBBBKvxBcrdnIqAxGroxucBBqBBBdaruuytBBnGxBaxxrBBBGtpBBurBBBBBzvvvvxgub",114.000000,0,3,0,6,6,6,0,0,5
"wzcagccjxdEywDDynozAxbeKycurucBEuufBbyBGjBtBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIqcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab",117.000000,12,0,0,1,14,10,0,0,0
